rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, variable_type, variable_value, attribute_name, attribute_type, attribute_value
GLOBAL,,,ACR8242XS,35503,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,ACR8242XS,35503,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,541.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,ACR8242XS,35503,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"541.00"
GLOBAL,,,ACR8242XS ,36498,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,ACR8242XS ,36498,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,541.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,ACR8242XS ,36498,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"541.00"
GLOBAL,,,IBCN-3,300434061130890,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,IBCN-3,300434061130890,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,IBCN-3,300434061130890,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,Aquadopp DW,A3L-5175 (AQD 9964),2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,Aquadopp DW,A3L-5175 (AQD 9964),2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,460.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,Aquadopp DW,A3L-5175 (AQD 9964),2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"460.00"
